identity_key,evidence_id,description,kcal_per_100g,protein_per_100g,production_present,vote_split,mechanically_vetoed,coverage_state,source,is_current_winner,winner_now,winner_if_removed,price_delta_if_removed,frontier_reason,disposition,reason
chicken|roasted,usda:173646,"Chicken, capons, meat and skin, cooked, roasted",229,29.0,False,DIFFER=9 SAME_I=1,False,covered,unstable_or_proposed,False,172395,172395,0,,,
coconut oil|,usda:171412,"Oil, coconut",892,0.0,False,SAME_I=10,True,uncovered,unstable_or_proposed,False,,,,,,
coconut oil|,usda:330458,"Oil, coconut",833,0.0,False,SAME_I=10,True,uncovered,unstable_or_proposed,False,,,,,,
egg|,usda:172185,"Egg, whole, cooked, omelet",154,10.6,False,DIFFER=9 SAME_I=1,False,covered,unstable_or_proposed,False,172186,172186,0,,,
egg|,usda:172187,"Egg, whole, cooked, scrambled",149,9.99,True,DIFFER=1 SAME_I=9,False,covered,unstable_or_proposed,False,172186,172186,0,,,
egg|,usda:172673,"Bread, egg",287,9.5,False,DIFFER=10,False,covered,frontier_escalation,False,172186,172186,0,admitting_it_changes_the_winner_now,,
egg|,usda:172674,"Bread, egg, toasted",315,10.5,False,DIFFER=10,False,covered,frontier_escalation,False,172186,172186,0,admitting_it_changes_the_winner_now,,
egg|,usda:172741,"Crackers, matzo, egg",391,12.3,False,DIFFER=10,False,covered,frontier_escalation,False,172186,172186,0,admitting_it_changes_the_winner_now,,
egg|,usda:174901,"Bagels, egg",278,10.6,False,DIFFER=10,False,covered,frontier_escalation,False,172186,172186,0,admitting_it_changes_the_winner_now,,
mackerel|,usda:168149,"Fish, mackerel, salted",305,18.5,False,SAME_I=10,True,covered,unstable_or_proposed,False,175119,175119,0,,,
mackerel|roasted,usda:175120,"Fish, mackerel, Atlantic, cooked, dry heat",262,23.8,True,DIFFER=2 SAME_I=8,True,covered,unstable_or_proposed,False,,,,,,
mayonnaise|,usda:171009,"Salad dressing, mayonnaise, regular",680,0.96,False,SAME_I=10,True,uncovered,unstable_or_proposed,False,,,,,,
mayonnaise|,usda:171443,"Mayonnaise, reduced fat, with olive oil",361,0.37,False,DIFFER=6 SAME_I=4,True,uncovered,unstable_or_proposed,False,,,,,,
mayonnaise|,usda:173594,"Salad dressing, mayonnaise, light",238,0.37,False,DIFFER=5 SAME_I=5,True,uncovered,unstable_or_proposed,False,,,,,,
mushrooms|grilled,usda:169377,"Mushrooms, portabella, exposed to ultraviolet light, grilled",29.0,3.28,True,DIFFER=3 SAME_I=7,True,covered,unstable_or_proposed,False,169243,169243,0.0,,,
olive oil|,usda:171413,"Oil, olive, salad or cooking",884,0.0,False,SAME_I=10,True,uncovered,unstable_or_proposed,False,,,,,,
potato|,usda:167943,"Bread, potato",266,12.5,False,DIFFER=10,False,covered,frontier_escalation,False,,,,admitting_it_changes_the_winner_now,,
potato|,usda:168446,Potato flour,357,6.9,False,DIFFER=10,False,covered,frontier_escalation,False,,,,admitting_it_changes_the_winner_now,,
potato|,usda:168484,"Sweet potato, cooked, boiled, without skin",76.0,1.37,False,DIFFER=10,False,covered,frontier_escalation,False,,,,admitting_it_changes_the_winner_now,,
potato|,usda:168854,"Snacks, potato sticks",522,6.7,False,DIFFER=10,False,covered,frontier_escalation,False,,,,admitting_it_changes_the_winner_now,,
potato|,usda:170088,"Sweet potato, cooked, candied, home-prepared",164,0.89,False,DIFFER=10,False,covered,frontier_escalation,False,,,,admitting_it_changes_the_winner_now,,
potato|,usda:170092,Potato pancakes,268,6.08,False,DIFFER=10,False,covered,frontier_escalation,False,,,,admitting_it_changes_the_winner_now,,
potato|,usda:170115,"Potatoes, microwaved, cooked, in skin, skin with salt",132,4.39,True,DIFFER=1 SAME_I=9,False,covered,unstable_or_proposed,False,,,,,,
potato|,usda:170133,"Sweet potato leaves, cooked, steamed, with salt",35.0,2.18,False,DIFFER=10,False,covered,frontier_escalation,False,,,,admitting_it_changes_the_winner_now,,
potato|,usda:173343,Potato salad with egg,157,1.96,False,DIFFER=10,False,covered,frontier_escalation,False,,,,admitting_it_changes_the_winner_now,,
potato|fried,usda:169764,"Potatoes, yellow fleshed, french fried, frozen, unprepared",162,2.47,False,DIFFER=8 SAME_I=2,False,covered,unstable_or_proposed,False,170698,170698,0,,,
rice|,usda:168897,"Wild rice, cooked",101,3.99,False,DIFFER=10,False,covered,frontier_escalation,False,169711,169711,0.0,admitting_it_changes_the_winner_now,,
rice|,usda:168914,"Rice noodles, cooked",108,1.79,False,DIFFER=10,False,covered,frontier_escalation,False,169711,169711,0.0,admitting_it_changes_the_winner_now,,
rice|,usda:173161,Rice crackers,416,10.0,False,DIFFER=10,False,covered,frontier_escalation,False,169711,169711,0.0,admitting_it_changes_the_winner_now,,
salmon|,usda:172343,"Fish oil, salmon",902,0.0,False,DIFFER=10,False,covered,frontier_escalation,False,173688,173688,0,admitting_it_changes_the_winner_now,,
salmon|,usda:173687,"Fish, salmon, chinook, smoked",117,18.3,False,SAME_I=10,False,covered,unstable_or_proposed,False,173688,173688,0,,,
salmon|grilled,usda:171999,"Fish, salmon, chinook, cooked, dry heat",231,25.7,False,DIFFER=8 SAME_I=2,False,uncovered,unstable_or_proposed,False,,,,,,
salmon|roasted,usda:171999,"Fish, salmon, chinook, cooked, dry heat",231,25.7,False,DIFFER=9 SAME_I=1,False,uncovered,unstable_or_proposed,False,,,,,,
salmon|roasted,usda:172000,"Fish, salmon, chum, cooked, dry heat",154,25.8,False,DIFFER=9 SAME_I=1,False,uncovered,unstable_or_proposed,False,,,,,,
